name,slottime_GMT,slottype,slotavg,pointTitle
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 04:00:00,H,126811.55,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 05:00:00,H,133866.175,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 06:00:00,H,139475.25,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 07:00:00,H,138949.85,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 08:00:00,H,145893.525,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 09:00:00,H,151507.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 10:00:00,H,155981.05,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 11:00:00,H,164057.575,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 12:00:00,H,166376.625,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 13:00:00,H,164819.025,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 14:00:00,H,162912.675,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 15:00:00,H,160206.1,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 16:00:00,H,160561.775,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 17:00:00,H,161402.25,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 18:00:00,H,159818.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 19:00:00,H,158929.25,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 20:00:00,H,160700,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 21:00:00,H,166867.125,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 22:00:00,H,169732.825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-03 23:00:00,H,167305.775,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 00:00:00,H,166688.175,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 01:00:00,H,161878.3,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 02:00:00,H,160644.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 03:00:00,H,159837.825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 04:00:00,H,153120.125,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 05:00:00,H,154552.225,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 06:00:00,H,157859.2,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 07:00:00,H,161103.175,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 08:00:00,H,165942.65,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 09:00:00,H,165274.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 10:00:00,H,166155.65,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 11:00:00,H,167055.975,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 12:00:00,H,166489.8,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 13:00:00,H,165435.075,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 14:00:00,H,152752.05,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 15:00:00,H,133534.675,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 16:00:00,H,124232.1,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 17:00:00,H,118789.825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 18:00:00,H,114537.175,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 19:00:00,H,107536.45,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 20:00:00,H,106683.55,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 21:00:00,H,109680.475,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 22:00:00,H,117835.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-04 23:00:00,H,119015.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 00:00:00,H,121052.95,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 01:00:00,H,120792.4,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 02:00:00,H,119850.625,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 03:00:00,H,120762.425,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 04:00:00,H,115566.025,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 05:00:00,H,112488.075,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 06:00:00,H,113120.825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 07:00:00,H,113495.825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 08:00:00,H,116187.625,Total Steam Export
